Date,XOM,CVX,BP,SLB,EPD,ENI,Oil Price
7/15/2012,79,37,67,63,77,76,13
7/22/2012,83,35,67,64,76,79,13
7/29/2012,80,37,69,60,75,72,12
8/5/2012,82,38,67,58,69,64,12
8/12/2012,81,36,67,61,59,52,12
8/19/2012,68,35,73,53,82,66,13
8/26/2012,62,32,71,76,77,73,13
9/2/2012,54,33,73,71,76,68,13
9/9/2012,54,38,71,59,77,63,13
9/16/2012,59,35,69,63,75,65,14
9/23/2012,56,38,68,62,75,63,14
9/30/2012,59,36,69,61,72,66,14
10/7/2012,60,37,70,52,65,64,14
10/14/2012,59,37,68,48,78,65,13
10/21/2012,59,32,73,60,72,63,13
10/28/2012,55,31,73,48,69,58,13
11/4/2012,56,34,73,54,72,64,13
11/11/2012,57,38,80,50,78,63,12
11/18/2012,55,32,69,49,70,75,12
11/25/2012,59,34,70,49,100,78,12
12/2/2012,61,36,71,52,85,76,11
12/9/2012,57,32,68,57,80,73,12
12/16/2012,61,30,66,49,76,73,11
12/23/2012,61,28,60,43,50,55,9
12/30/2012,62,29,64,51,60,64,11
1/6/2013,54,31,69,55,78,74,11
1/13/2013,58,33,71,68,76,76,11
1/20/2013,64,33,69,60,88,75,11
1/27/2013,65,37,70,54,95,82,12
2/3/2013,66,31,69,53,88,80,11
2/10/2013,62,35,67,57,76,76,11
2/17/2013,73,33,67,61,90,74,12
2/24/2013,69,36,72,56,89,73,12
3/3/2013,71,40,68,56,91,71,12
3/10/2013,63,37,68,56,84,68,11
3/17/2013,57,39,70,57,96,70,11
3/24/2013,59,34,71,54,81,74,11
3/31/2013,60,32,69,57,74,66,11
4/7/2013,62,38,72,59,82,70,11
4/14/2013,63,35,69,61,72,65,14
4/21/2013,67,36,71,64,81,63,11
4/28/2013,69,43,68,78,61,64,12
5/5/2013,65,40,69,78,77,67,11
5/12/2013,61,38,69,75,71,69,11
5/19/2013,56,35,68,59,72,73,11
5/26/2013,58,33,67,65,68,69,10
6/2/2013,58,32,70,57,78,64,10
6/9/2013,57,31,69,50,61,69,10
6/16/2013,63,31,68,51,73,66,10
6/23/2013,61,35,71,51,71,73,11
6/30/2013,55,30,72,51,51,69,11
7/7/2013,62,33,73,55,66,69,12
7/14/2013,62,36,69,61,63,69,12
7/21/2013,58,35,68,61,71,62,11
7/28/2013,61,37,72,52,69,66,11
8/4/2013,60,34,70,47,65,58,10
8/11/2013,61,32,66,42,66,48,11
8/18/2013,58,32,67,56,64,58,11
8/25/2013,56,39,69,58,71,63,13
9/1/2013,54,31,70,53,65,66,13
9/8/2013,55,36,73,53,70,65,12
9/15/2013,54,33,69,57,63,69,11
9/22/2013,58,30,70,58,72,71,11
9/29/2013,53,35,73,55,66,73,11
10/6/2013,56,39,72,50,62,75,11
10/13/2013,58,37,70,51,68,74,10
10/20/2013,52,31,70,57,67,77,12
10/27/2013,54,38,69,58,71,73,11
11/3/2013,57,33,76,60,72,76,11
11/10/2013,61,31,71,57,71,74,11
11/17/2013,60,36,71,53,70,80,11
11/24/2013,52,29,71,51,61,79,11
12/1/2013,54,31,71,53,65,76,11
12/8/2013,56,31,72,51,74,76,10
12/15/2013,60,32,71,48,63,76,10
12/22/2013,67,31,64,42,43,57,9
12/29/2013,59,30,65,44,52,65,10
1/5/2014,55,36,69,68,67,75,11
1/12/2014,53,35,69,74,70,78,11
1/19/2014,51,35,69,62,77,81,11
1/26/2014,50,43,71,54,73,79,11
2/2/2014,58,42,72,55,69,81,10
2/9/2014,56,39,72,69,79,85,10
2/16/2014,54,41,71,55,87,79,11
2/23/2014,54,41,73,64,77,80,11
3/2/2014,56,41,72,61,65,79,12
3/9/2014,52,37,70,60,73,76,11
3/16/2014,50,36,70,65,74,76,11
3/23/2014,49,36,74,68,73,75,11
3/30/2014,50,35,74,65,78,79,10
4/6/2014,55,38,72,80,70,79,10
4/13/2014,56,36,71,98,65,85,10
4/20/2014,63,37,68,100,67,71,10
4/27/2014,71,41,68,84,65,77,10
5/4/2014,65,35,71,80,70,76,10
5/11/2014,58,35,70,70,67,71,10
5/18/2014,58,38,72,65,77,74,11
5/25/2014,60,32,70,56,72,75,10
6/1/2014,61,33,71,55,66,71,10
6/8/2014,62,31,71,52,71,70,11
6/15/2014,62,42,69,52,66,73,13
6/22/2014,65,40,73,61,70,72,11
6/29/2014,58,31,74,60,65,71,10
7/6/2014,62,36,72,63,66,69,11
7/13/2014,61,35,70,67,76,67,11
7/20/2014,58,35,71,65,73,68,10
7/27/2014,65,37,72,55,78,67,11
8/3/2014,63,32,72,59,68,62,11
8/10/2014,63,35,68,65,72,48,11
8/17/2014,62,31,72,68,84,53,12
8/24/2014,57,33,70,65,78,62,12
8/31/2014,57,29,73,62,76,68,12
9/7/2014,63,32,73,61,68,70,14
9/14/2014,87,31,70,59,77,70,14
9/21/2014,84,32,68,56,72,73,13
9/28/2014,77,38,71,56,72,72,16
10/5/2014,76,39,72,51,82,74,19
10/12/2014,79,42,72,62,84,76,30
10/19/2014,80,44,69,62,74,76,23
10/26/2014,76,45,72,61,73,74,24
11/2/2014,67,43,73,59,73,76,29
11/9/2014,64,40,70,54,72,78,27
11/16/2014,61,36,71,58,73,78,26
11/23/2014,66,36,72,58,73,83,37
11/30/2014,74,49,73,64,74,82,53
12/7/2014,76,60,77,62,86,76,63
12/14/2014,81,58,73,76,81,83,75
12/21/2014,77,48,66,50,59,58,45
12/28/2014,70,45,67,51,51,67,44
1/4/2015,76,60,71,62,76,77,76
1/11/2015,82,58,73,70,84,81,78
1/18/2015,93,47,73,66,84,85,64
1/25/2015,96,61,73,63,82,86,54
2/1/2015,96,60,76,63,90,88,70
2/8/2015,80,49,74,65,86,82,58
2/15/2015,79,47,74,61,74,87,50
2/22/2015,78,51,73,63,84,89,48
3/1/2015,79,48,74,61,84,79,41
3/8/2015,81,48,73,60,88,81,39
3/15/2015,82,52,73,57,86,82,47
3/22/2015,80,49,72,55,75,80,39
3/29/2015,79,44,72,54,72,74,37
4/5/2015,79,47,72,80,86,72,37
4/12/2015,83,45,73,82,91,77,37
4/19/2015,81,44,74,67,78,78,35
4/26/2015,82,50,72,82,78,74,34
5/3/2015,77,46,72,65,83,78,35
5/10/2015,77,42,72,68,78,77,31
5/17/2015,76,43,72,88,72,76,29
5/24/2015,71,43,72,58,74,72,26
5/31/2015,70,42,71,74,71,66,27
6/7/2015,69,45,74,57,69,71,25
6/14/2015,69,45,74,55,73,73,24
6/21/2015,68,46,73,56,72,69,23
6/28/2015,71,44,80,52,71,72,24
7/5/2015,74,52,80,57,72,75,32
7/12/2015,74,51,73,62,78,70,31
7/19/2015,82,50,73,62,69,68,32
7/26/2015,85,65,75,58,75,69,36
8/2/2015,85,75,75,56,82,65,39
8/9/2015,84,64,74,61,79,54,42
8/16/2015,86,70,73,63,77,56,48
8/23/2015,100,100,74,81,81,65,64
8/30/2015,85,74,73,62,74,100,53
9/6/2015,73,51,73,57,76,74,38
9/13/2015,70,58,73,56,75,72,36
9/20/2015,70,47,74,55,77,74,31
9/27/2015,71,49,76,54,83,78,30
10/4/2015,75,66,79,61,83,78,37
10/11/2015,74,51,75,60,81,77,33
10/18/2015,72,54,73,57,78,75,29
10/25/2015,74,56,75,57,82,76,30
11/1/2015,78,61,73,55,82,77,28
11/8/2015,73,46,73,54,75,75,29
11/15/2015,71,51,75,51,82,75,33
11/22/2015,66,39,75,48,74,72,30
11/29/2015,72,45,74,55,79,78,31
12/6/2015,78,54,76,54,86,69,51
12/13/2015,78,55,76,56,86,77,51
12/20/2015,78,43,72,43,73,61,41
12/27/2015,71,40,70,45,61,63,38
1/3/2016,81,63,73,53,83,72,54
1/10/2016,84,67,74,58,85,76,82
1/17/2016,88,66,74,62,100,80,100
1/24/2016,89,65,75,55,99,78,79
1/31/2016,93,67,79,57,81,82,71
2/7/2016,96,64,76,65,90,92,67
2/14/2016,96,53,75,55,95,80,67
2/21/2016,93,57,77,52,96,84,58
2/28/2016,91,59,76,60,90,82,55
3/6/2016,78,69,76,60,98,81,64
3/13/2016,75,67,75,53,89,78,57
3/20/2016,71,62,76,55,84,76,47
3/27/2016,72,61,73,58,79,73,45
4/3/2016,70,50,77,59,86,79,44
4/10/2016,76,55,75,63,90,75,49
4/17/2016,81,63,76,70,88,76,55
4/24/2016,81,61,78,67,88,69,49
5/1/2016,76,50,72,64,85,72,46
5/8/2016,75,50,75,65,88,70,43
5/15/2016,75,48,74,78,79,70,46
5/22/2016,72,45,77,53,73,70,43
5/29/2016,68,40,74,47,88,67,40
6/5/2016,73,47,75,45,76,68,42
6/12/2016,65,41,72,44,83,69,37
6/19/2016,73,51,76,41,83,71,41
6/26/2016,75,50,79,45,79,70,38
7/3/2016,69,43,80,43,76,68,34
7/10/2016,74,50,72,43,72,66,34
7/17/2016,72,46,74,50,76,65,32
7/24/2016,75,47,76,55,75,69,37
7/31/2016,74,48,75,45,82,68,39
8/7/2016,73,42,74,48,79,57,34
8/14/2016,67,40,71,47,73,49,35
8/21/2016,65,37,71,47,87,58,36
8/28/2016,66,40,73,50,82,65,35
9/4/2016,64,36,76,47,80,67,34
9/11/2016,65,42,77,46,74,68,32
9/18/2016,63,40,78,51,78,74,32
9/25/2016,62,41,78,50,79,71,39
10/2/2016,63,38,81,49,81,73,38
10/9/2016,70,41,80,45,74,75,39
10/16/2016,62,37,81,50,80,75,35
10/23/2016,63,45,78,51,82,73,32
10/30/2016,62,45,78,49,80,66,34
11/6/2016,67,52,79,52,79,70,35
11/13/2016,65,49,80,46,83,76,34
11/20/2016,65,43,84,47,79,70,33
11/27/2016,69,58,84,60,83,84,49
12/4/2016,68,52,86,50,79,69,38
12/11/2016,83,56,85,60,78,76,41
12/18/2016,72,48,89,46,77,73,32
12/25/2016,70,41,88,39,61,65,29
1/1/2017,63,42,85,44,77,69,34
1/8/2017,66,42,87,50,85,73,33
1/15/2017,67,38,89,52,85,70,29
1/22/2017,66,49,90,55,96,72,28
1/29/2017,72,46,89,53,83,75,30
2/5/2017,70,41,89,52,90,74,29
2/12/2017,69,45,87,50,89,69,26
2/19/2017,69,43,89,52,86,71,27
2/26/2017,69,48,90,49,91,73,27
3/5/2017,70,45,88,46,91,74,29
3/12/2017,65,43,89,50,89,70,30
3/19/2017,68,40,90,49,89,74,28
3/26/2017,66,41,90,53,93,72,29
4/2/2017,69,41,91,47,79,70,30
4/9/2017,69,37,92,55,77,68,28
4/16/2017,70,44,88,56,80,64,26
4/23/2017,74,46,89,55,89,68,26
4/30/2017,72,40,85,50,85,68,28
5/7/2017,70,38,89,75,87,73,27
5/14/2017,71,41,91,56,84,71,26
5/21/2017,70,37,90,42,83,69,27
5/28/2017,68,34,90,49,76,65,26
6/4/2017,72,40,90,47,80,72,29
6/11/2017,73,41,90,43,83,70,29
6/18/2017,73,36,96,44,85,69,32
6/25/2017,73,38,97,43,84,71,29
7/2/2017,75,35,100,44,79,72,29
7/9/2017,71,36,97,45,64,66,29
